commento;labelpers;tipo_lista;
I gestori sono molto gentili e disponibili, la colazione e' ricca e offre molti prodotti tipici e di produzione propria. La posizione in un aranceto e la vista sull'Etna sono decisamente notevoli. Qualche problema con la televisione che non riusciva a sintonizzare i canali, francamente un problema marginale. Per raggiungere le camere dal parcheggio bisogna fare un breve tratto a piedi (cinquanta metri), in caso di pioggia puo' essere scomodo, ma garantisce silenzio e tranquillita'.É?›;rs;TRAINING;
Ci siamo  fermati solo due notti ma «˘  stata una  esperienza positivissima. Location  incantevole, proprietari gentilissimi e professionali. Rapporto qualit«ˇ  prezzo imbattibile. Lo consiglio vivamente anche  perch«∏  in posizione  strategica  per visitare Taormina  e dintorni pur essendo  tranquillo e silenzioso, immerso come «˘  in un grande aranceto. Notevole anche la colazione con dolci freschi prodotti di alta qualit«ˇ  . Ci torneremo  sicuramente É?›;vs;TEST;
Pasqua 2019. Tutto perfetto. Dire altro significa dimenticare qualcosa. Alessandro e la moglie cordiali e ospitali. posto tranquillo nel verde , colorato di arancione –?ç? e giallo –?ç? Buona vacanza a tutti.;rs;TRAINING;
Ci hanno assegnato una grande camera al piano rialzato molto pulita, arredata con gusto,  molta attenzione ai partcolari con comodissime prese usb e tv interattiva, bagno spazioso e dotato di ogni accessorio ma la vera sorpresa «˘ stata la colazione... torte fatte in casa e cornetti non congelati oltre alla grande simpatia di Alessandro e Laura prodighi di molti consigli. Ottimo rapporto qualitéÅ prezzo. SuperconsigliatissimoÉ?›;vs;TEST;
ho soggiornato presso questa struttura dopo aver letto varie recensioni, che aggiungere ancora, tutto ottimo , la casa «˘ inserita in un aranceto e si pu«˝ fare la colazione all'aperto . Le stanze e il bagno sono perfetti e pulitissimi.un grazie  a Alessandro e Laura.;rs;TEST;
Ottima location ottima sistemazione. Una perfetta sistemazione per chi vuole visitare Taormina e dintorni. Facile da raggiungere.Stanza perfetta ed ampia. Nulla da eccepire. Servizio ottimo e prima colazione molto soddisfacente.Un punteggio pieno a 5 stelle !Alla prossima;it;TEST;
Ne avrei date 10,100,1000 di stelle ma il massimo «˘ 5....solo di cortesia da parte di Laura e Alessandro e dalla simpatia del mitico amico a 4 zampe....ci hanno aiutato a trovare tutte le localit«ˇ indicandoci le vie da percorrere e sempre disponibili a tutto pur di aiutarci essendo la prima volta in Sicilia!!!! Appena arrivate ci siamo trovate immerse da aranceti dal profumo fantastico, camera con visuale panoramica e difronte a noi l Etna... Lontane dal caos cittadino, abbiamo respirato pace e tranquillit«ˇ!!!! camere ampie, pulizia eccellente, colazione ricca di tutto, dal dolce al salato!!! Rapporto qualit«ˇ prezzo ottimo!!!! Sarei rimasta volentieri un altra settimana!!!! Davvero davvero tutto fantastico;st;TEST;
Da subito abbiamo riscontrato gran cortesia e disponibilit«ˇ da parte di Alessandro, dalla fase della prenotazione al ricevimento in struttura. Gentilissima la moglie e simpaticissimi, una gran accoppiata. Disponibilissimi anche nell'indicarci spiagge e paesi da visitare e locali dove poter cenare con piatti locali. Camere pulite e colazione abbondante. il Top. Grazie mille per il splendido soggiorno. Stefania e Massimo;st;TEST;
Poco distante da Taormina, questo delizioso B&B immerso in un agrumeto «˘ stata una piacevole esperienza. Camera spaziosa, ben arredata e pulita, con tutti i comfort, compreso un buon set da bagno. Unica ( leggera) pecca la colazione del mattino non per quantit«ˇ ma per qualit«ˇ. Ci aspettavamo magari prodotti a km zero e non i succhi Parmalat o marmellate industriali e magari anche lo yogurt naturale. Ci«˝ non toglie nulla al giudizio pi«˚ che positivo, soprattutto verso i due titolari, gentilissimi, che si prodigano con cortesia nel venire incontro alle richieste dei clienti. Molto soddisfatti.;lt;TRAINING;
Ottimo luogo per un soggiorno tranquillo a pochi minuti da Taormina ed altre localit«ˇ turistiche. Camere ampie e pulite. Colazione ottima. Bella tutta la sistemazione degli esterni compreso un agrumeto che circonda il luogo. Molto gradevole  la vasca esterna  con vista Etna per piacevole idromassaggio pomeridiano al rientro.;lt;TEST;
Siamo stati tre notti in questo incantevole posto!Tutto curato nei minimi particolari! Si vede proprio che i due dolcissimi e gentilissimi proprietari mettono amore e passione per rendere la permanenza dei loro ospiti meravigliosa!Laura premurosa e dolcissima ( vedendo che le mie figlie non avevano toccato cibo a colazione ci ha addirittura preparato dei paninetti al prosciutto da portare via) Alessandro sempre pronto a consigliare locali dove cenare, posti da vedere e strade  da percorrere!!!Consiglio vivamente questo posto a due passi da Taormina ma immerso nella tranquillit«ˇ assoluta!!!!Stanze grandi e nuovissime!;st;TEST;
Io e il mio ragazzo abbiamo soggiornato in questo b&b tre notti. LÉ??abbiamo scelto grazie alle recensioni positive degli utenti di Tripadvisor e non possiamo che confermare: posto meraviglioso vicino a Taormina e Giardini Naxos, ma nella quiete di un aranceto stupendo con vista sullÉ??Etna  vasca idromassaggio a disposizione dei clienti. Insomma, lo consiglio davvero a tutti! Grazie ancora ai proprietari!;rs;TRAINING;
B&B ottimo per chi vuole visitare la zona di Taormina e dell'Etna soggiornando in un luogo tranquillo. In pochi chilometri si raggiungono le spiagge di Giardini Naxos e le localit«ˇ turistiche della zona. Molto gentili i proprietari, che ci hanno ben consigliato anche sui ristoranti. Molto buone le camere, ottima la colazione, gradevolissimo l'ambiente (prato, giardino, vasca idromassaggio). Tornerei senz'altro.;ht;TRAINING;
B&B davvero bellissimo,immerso negli agrumeti con vista Etna. Camera pulitissima e arredata nuova. Colazioni con di tutto e di pi«˚. Proprietari gentilissimi e simpatici e sempre pronti a dare consigli x visitare luoghi o su spiagge.;rs;TRAINING;
In questo posto meraviglioso e accogliente ci ha dato una gioia immensa di ritornare e trovare una accoglienza sempre stupenda e cordiale. La camera bella moderna, spaziosa e soleggiata che ci fatti sentire subito a nostro agio, i prodotti della colazione ogni giorno freschi fatti da Laura e Alessandro. La gentilezza estrema dei propietari ci ha fatti sentire come a casa. Lo consigliamo di cuore ai viaggiatori che si recano in Sicillia. A presto, grazieeeeee!!!!! Giuseppe e Natali;ht;TRAINING;
Semplicemente Meraviglioso!!!Nel tour della nostra vacanza sfortunatamente abbiamo pernottato in questo B&B solamente una notte.Da subito abbiamo riconosciuto una professionalit«ˇ indescrivibile.Dalla buonissima colazione alla comodit«ˇ della camera...TUTTO PERFETTO!!!Ringraziamenti infiniti ai propretari del B&B che ci hanno permesso di vivere una bellissima esperienza!!!A presto!!!ci ritorneremo!!!Grazieeee!!!Pietro e Valentina.;rs;TEST;
Ho alloggiato in questo b&b per 5 giorni a luglio con la mia famiglia e ci siamo trovati molto bene. La camera era molto spaziosa  e soprattutto molto pulita , l'arredamento nuovo e la doccia bella grande . In camera c'«˘ l'aria condizionata , la cassaforte e il mini frigo , l'unica cosa che manca a mio avviso «˘ la zanzariera alla porta finestra che da sul balcone  perch«∏ la notte fa molto caldo e quindi si «˘ costretti ad accedere l'aria condizionata ma io nn la amo particolarmente avrei preferito tenere la finestra aperta , c'«˘ una finestra in bagno che ha la zanzariera ma «˘ piccolina nn entrava molta aria. Il giardino «˘ molto curato ed «˘ presente una vasca idromassaggio a disposizione degli ospiti. La colazione buona . I proprietari gentili e disponibili . Il b&b si trova a pochi kilometri da Taormina .;vs;TRAINING;
Ho soggiornato una sola notte insieme al mio ragazzo in questo B&B .. che dire.. fantastico.. struttura moderna immersa nel verde, curata in ogni minimo dettaglio, pulizia eccellente, personale disponibile e gentile! Lo consiglio !;rs;TRAINING;
Cortesia, servizi, tranquillit«ˇ, e siamo al centro. L'auto la vengono a prendere dal parcheggio con garage da pagare 20 É?™ a parte. L'hotel «˘ al centro e non «˘ poco. ma come si f«ˇ ad avere un wc, attaccato alla doccia, e dove se si «˘ alti nella media non si pu«˝ utilizzare in santa pace e comodi. Se ristrutturate le camere, si pu«˝ arrivare a voti superiori, le potenzialit«ˇ ci sono tutte, Basta applicarsi, come dimostrate con una colazione veramente che merita, e non dimenticate che siete nellla zona pi«˚ bella del sudÉ?›;vs;TEST;
Hotel datato,ma accettabile. Buona pulizia,posizione ottima 100 metri da corso Umberto. Tv in camera molto piccolo,io ho preso una Superior ristrutturata da poco,ho visto le altre camere standard e non sono state di mio gradimento. Personale eccezionale,garbato e gentile.;lt;TRAINING;
Siamo stati in questa splendida struttura in occasione di un evento enogastronomico. Molto comodo, pulito e ben fatto. Oltre a tutti i pregi elencati si trova al centro di Taormina e non «˘ poco! Ritorneremo ... CONSIGLIATISSIMO;st;TEST;
Hotel molto grazioso, centralissimo, situato a pochi passo dal meraviglioso centro di Taormina, personale gentilissimo e disponibile. Camere pulite e spaziose, dotate di ogni confort necessario. Colazione ottima da gustare in terrazza con una vista mozzafiato che se ci penso ancora adesso «˘ da brivido!  Ci torneremo sicuramente perch«˘ ci siamo trovati davvero benissimo, complimenti per tutto, continuate cos«™!É?›;rs;TEST;
Abbiamo trascorso un week end molto speciale in questo grazioso e confortevole albergo stile anni 60, sito in una posizione stupenda a pochi passi da piazza Duomo. La nostra stanza, piccola ma comoda, aveva un terrazzino con affaccio sul Duomo...veramente delizioso. Infatti, abbiamo approfittato per goderci il panorama e soprattutto lÉ??atmosfera quasi incantata che si «˘ creata...Personale impeccabile e disponibile...La sala della prima colazione gode di un affaccio incantevole sulla baia di Giardini. Ci torneremo...per É??ricaricareÉ?ù le batterie dopo lo stress del quotidiano.É?›;rs;TEST;
Abbiamo trascorso un weekend a Taormina per lavoro e non potevamo trovare un hotel migliore! Centralissimo, camera ampia e confortevole con annesso un bagno enorme, il tutto ovviamente pulitissimo, la mattina abbiamo gustato un ottimo colazione dove non mancava praticamente nulla. Bellissimo il terrazzo con una vista spettacolare (vedi foto). Un plauso al personale che definire gentilissimo «˘ poco.;rs;TRAINING;
A due e dico due passi dal magnifico lungomare di Reggio lÉ??hotel offre camere spaziose, dallÉ??arredamento spartano ma molto pi«˚ che funzionale, dotate di frigo bar e bagni ampi e pulitissimi ( ho sfruttato varie volte la struttura e sono sempre stato soddisfatto). Alcune stanze sono con splendida vista mare ... altre danno sulla strada. Quelle vista mare sono non solo con vista migliore ma anche pi«˚ silenziose ovviamente.  Meglio chiedere vista mare allÉ??atto prenotazione anche se io sono stato bene in tutte. La colazione ( dalle 7 alle 10) eÉ?? di soddisfazione. Non propone cibi caldi ma i dolci sembrano fatti in casa ... davvero ottimi ( meno le brioche). LÉ??accoglienza eÉ?? sempre ottima e la gentilezza non «˘ mai mancata. Ogni volta che vado a Reggio alloggio qui.. e continuer«˝ a farlo.;ht;TEST;
A due passi da piazza Duomo a Taormina, hotel non nuovissimo ma ben tenuto, camera superior ristrutturata da poco, accogliente e pulita, colazione buona servita su una splendida terrazza panoramica. Antonio alla reception un esempio di cordialit«ˇ ed ospitalit«ˇ.;lt;TEST;
Sono tornato per la 2 volta in 2 anni a Taormina e per la 2 volta ho scelto il Continental.La gentilezza e simpatia di tutto il personale, la posizione centralissima, la funzionalit«ˇ dei suoi ambienti e la su citata terrazza panoramica. E non ce 2 senza 3 .... quando ritorner«˝ a Taormina torner«˝ al Continental;ht;TEST;
Il mio soggiorno a Taormina non sarebbe stato cos«™ piacevole se non avessi avuto la fortuna di pernottare in questa struttura. Gentilezza e disponibilit«ˇ del personale, della reception ma anche della sala ristorante, pulizia delle stanze ed eccellenza della colazione rendono questo albergo uno dei pi«˚ belli nei quali abbia mai pernottato. Non mi ritrovo affatto nelle recensioni negative che parlano di colazioni scarse e di camere vecchie: la prima era squisita e le seconde nuovissime. Un angolo di paradiso situato al centro di Taormina e che offre tutte le comodit«ˇ idonee a rendere una villeggiatura memorabile. Complimenti!;vs;TEST;
"Hotel situato in posizione centralissima e quindi molto strategica. Camere pulite e confortevoli. Vista incantevole dal terrazzone. Personale alla reception davvero gentilissimo e disponibile. Purtroppo trovandosi in ""centrissimo"" non esiste parcheggio in loco ma c'«˘ la possibilit«ˇ di usufruire di un parcheggio privato con servizio di ""car valet"" ad un prezzo ragionevole.|vs|TRAINING";rs;TRAINING;
Personale professionale e cortese, bella terrazza panoramica, posizione centrale ottima, per il resto da cancellare. Struttura anni 50 /60,camera fatiscente con arredi vetusti e logori, bagno scandaloso!!!! Doccia con tenda, specchio tutto scrostrato, l'arredo penso mai sostituito, una vera tristezza... Colazione mediocre, struttura con grandi potenzialit«ˇ ma da ristrutturare completamente, non capisco come faccia ad avere tre stelle.... Prezzo non assolutamente rapportato alla qualit«ˇ della struttura.;vs;TRAINING;
Quando in un hotel incontri professionalit«ˇ e pulizia, penso sia davvero il connubio perfetto, vista panoramica affascinante, personale attento allÉ??esigenze del cliente, e camera pulita. Un grande grazie a tutti. Spero di ritornare presto.;it;TRAINING;
Siamo rimasti molto contenti del nostro soggiorno, a partire dal check in dettagliato e accogliente, la camera molto pulita in ogni dettaglio, abbiamo anche preso qualcosa da bere al bar gentilmente accompagnato da un tagliere di deliziosi formaggi e per non parlare della colazione la mattina con un ottimo caff«˘ con vista mare e monti (Etna), non ci sono parole per descrivere la gentilezza e l'attenzione di tutto il personale. Vivamente consigliato;st;TRAINING;
Taormina «˘ una location di lusso e piena di alberghi meravigliosi ma in questo albergo ci si sente a casa fin dallÉ?? arrivo. La cortesia del personale, la meraviglia della terrazza tra le pi«˚ belle di Taormina e i prezzi contenuti ne fanno il luogo ideale per un qualsiasi tipo di soggiorno. La colazione «˘ buonissima e degna di un albergo di categoria superiore. La vista meravigliosa non fa rimpiangere la presenza di una piscina che con un mare come quello di Taormina non ha senso di esistere. Grazie dello splendido soggiorno.;vs;TRAINING;
Siamo stati a Taormina e abbiamo soggiornato al Continental.Ottimo hotel si trova a due passi dalla piazza centrale un bel terrazzo panoramico dove si pu«˝ ammirare sua maest«ˇ Etna e uno splendido mare.Personale molto cortese e simpatico e molto disponibile a darti tutte le informazioni possibili.Ci torneremo.;ht;TRAINING;
Abbiamo soggiornato a Marzo per un week end a Taormina. Sicuramente data la bassa stagione abbiamo goduto di un prezzo decisamente scontato, ma non per questo la qualit«ˇ dei servizi «˘ stata da meno. La camera, dotata di un balcone, era pulita,spaziosa e luminosa, non eccezionale nel gusto estetico, per«˝ dotata di tutti i comfort necessari, con bagno e doccia davvero molto comodi. La location dell'hotel davvero strategica, con un'uscita sul retro del giardinetto in pieno centro. Colazione anche abbondante e abbastanza varia, servita in una sala con una incantevole vista sull'Etna. Cosa chiedere di pi«˚? Assolutamente consigliato;vs;TEST;
POSiZIONE incantevole con vista mare e sul vulcano Etna, a due passi dal centro.Rapporto qualit«ˇ prezzo sostenibile con personale disponibile e attento alle esigenze della clientela. Colazione super!;vs;TEST;
Ottimo hotel,dove il cliente «˘ seguito nei minimi dettagli,e si sente davvero valorizzato.Abbiamo fatto colazione nella terrazza,con vista mare,e devo dire che vorrei potermi svegliare tutte le mattine l«™.Taormina poi «˘ stupenda come citt«ˇ.;rs;TEST;
Soggiorno molto piacevole e rilassante, con vista unica che racchiude il vulcano Etna ed il golfo di Naxos! Personale molto attento e meticoloso! La camera stupenda e molto pulita. La struttura dispone di una piscina con vista! Sono inoltre disponibili dei servizi navetta per il centro storico di Taormina ed anche per il mare! La colazione sia salata che dolce danno la possibilit«ˇ, tra i vari prodotti disponibili, di gustare delle prelibatezze legate al territorio! Consigliatissimo!É?›;lt;TRAINING;
Abbiamo deciso di trascorrere la ns luna di miele in questo raffinato boutique hotel. Tutto, dalla camera al ristorante al servizio del personale cortese e attento a ogni richiesta , ci «˘ sembrato perfetto. LÉ??hotel, situato in posizione elevata (Taormina alta, sotto Castelmola) gode di una vista spettacolare, unica e ineguagliabile che domina sul mare e parte della citt«ˇ. Le stanze e ogni ambiente dellÉ??hotel «˘ arredato con gusto e cura del dettaglio. Nulla «˘ lasciato al caso e per ogni richiesta si ha la sensazione che il personale «˘ attento e pronto a soddisfare il cliente. Tutto lo staff , dagli autisti alla reception ai camerieri, cuochi e signore pulizie lavorano in maniera incredibile per assicurare il massimo. Il cliente si sente coccolato in ogni momento. La qualit«ˇ del cibo «˘ ottima. Le stanze offrono ogni comfort (la ns junior suite era impeccabile: spaziosa con un bagno ampio e bellissimo e una terrazza con vista mare). Sicuramente sceglieremo ancora questa struttura , elegante come i suoi proprietari (o lÉ??altra gemellata, Villa Carlotta, in Taormina bassa).É?›;ht;TEST;
Hotel Villa Ducale «˘ un posto unico nel panorama Taorminese. Gode di una posizione privilegiata che gli da una visuale dall'alto su tutta la citt«ˇ e il golfo regalandoti attimi di magia e serenit«ˇ. La mia stanza era molto grande finemente arredata. Ogni particolare «˘ tenuto di conto e l'ospite non «˘ mai lasciato a s«∏ stesso costantemente coccolato dai dipendenti e non «˘ raro incontrare la proprietaria, persona squisita, che si prodiga affinch«∏ tutto sia in linea con le aspettative della propria permanenza in Hotel. Spero di avere in futuro occasione di tornare a Taormina e di poter nuovamente soggiornare in questa splendida struttura.É?›;rs;TRAINING;
A seguito di una cena romantica e deliziosa presso il ristorante di Villa Ducale, che si presenta  riservato, curatissimo e con vista mozzafiato sullÉ??Etna e sul golfo di Giardini Naxos, io e il mio compagno abbiamo avuto modo di pernottare ln una delle suite dellÉ??albergo.  E che dire, tutto magnifico! La location pi«˚ bella che io abbia mai visto, un vero e proprio angolo di paradiso !  La suite, pulitissima, elegante e spaziosa, gode di tutti i comfort. Anche in questo, cosi come per tutta la struttura in generale, si vede riflesso il buon gusto dei proprietari, gentilissimi ed ospitali !  La consiglio a chiunque volesse trascorrere dei giorni di paesia e relax a Taormina !É?›;lt;TEST;
Posizione magnifica e panoramica! Hotel dotato di ogni comfort, facile da raggiungere, camere comode e moderne, personale gentilissimo e disponibile, colazione eccezionale. Paragonabile a pochi altri hotel in cui siamo stati, assolutamente consigliato,;rs;TRAINING;
"La posizione della struttura, la cura dei dettagli, la gentilezza dello staff, la cortesia dei padroni di ""casa"" rendono questo boutique hotel un vero e proprio gioiello di Taormina. La mia famiglia si «˘ sentita ""coccolata"" sin dal momento della prenotazione. Se potessi dare un giudizio da uno a dieci direi 10 e lode!|rs|TRAINING";rs;TRAINING;
La nostra  vacanza a Villa Ducale e stato un piacevolissimo ed inaspettato intermezzo . Questa incantevole Villa domina la citt«ˇ ed il suo mare offrendoti viste mozzafiato dalla terrazza del ristorante e dalle singole stanze. La sapiente regia dei proprietari e dello staff nella cura degli arredi e dei dettagli sembra portare i profumi e i colori nelle stanze e nelle sale direttamente dalMare e dalla natura circostanti rendendo il soggiorno a Villa ducale unÉ??esperienza davvero unica. Sontuosa  la colazione in terrazza! Grazie a tutti lo staff per averci accudito, a Daria, Manila e Margherita per la squisita gentilezza e disponibilit«ˇ. Un ringraziamento speciale al direttore Paolo per aver assicurato il famoso microclima di Taormina ... e alla straordinaria Signora Rosaria, un incontro davvvero indimenticabile .;rs;TEST;
LÉ??hotel «˘ assolutamente incantevole curato in ogni dettaglio da dove si pu«˝ godere di una vista spettacolare, ma ci«˝ che lo rende unico eÉ?? il personale che ti accoglie. Ad iniziare dalla É??padrona di casaÉ?? la signora Rosaria che con la sua squisita ospitalit«ˇ rende indimenticabile il tuo soggiorno, Daria, Manila, Margherita e tutto lo staff per la loro simpatia, efficienza e disponibilit«ˇ. Ringrazio infine Paolo che con la sua professionalit«ˇ ci ha dato lÉ??opportunit«ˇ di conoscere questa splendida realt«ˇ. Non vediamo lÉ??ora di tornarci;st;TRAINING;
Una vista che toglie il fiato, i pensieri e qualsiasi forma di stanchezza. Il posto ideale per trascorrere una vacanza rilassante. Un'accoglienza che fa subito sentire a Casa, senza essere a casa, coccolati sotto ogni aspetto. La nuova piscina d«ˇ quel qualcosa in pi«˚ a un hotel che reputo fra i migliori del mondo, per posizione, per staff, per qualit«ˇ, per pulizia, per servizi e per il suo design. Nulla «˘ lasciato al caso, ogni cosa «˘ curata nei minimi dettagli, con estremo amore e palpabile passione.La colazione «˘ talmente ricca da lasciare di stucco e da riempire piacevolmente occhi e... pancia!Il ristorante «˘ gestito da un bravissino chef che crea piatti meritevoli di essere assaggiati. E poi, come si fa a non pranzare o cenare in un posto cos«™ romantico, vista mare e vista Etna? Sembra il Paradiso!Tutto fa venire voglia di abbandonarsi al relax estremo e di tornare ancora, ancora e ancora.Un luogo magico, che resta nel cuore.;rs;TRAINING;
