,hotel,indirizzo,rating,dataIns
0,Hotel Sporting Rimini,"Viale Amerigo Vespucci 20, 47921, Rimini Italia",,2019-07-05
1,Hotel Sporting Rimini,"Viale Amerigo Vespucci 20, 47921, Rimini Italia",,2019-07-05
2,Hotel Sporting Rimini,"Viale Amerigo Vespucci 20, 47921, Rimini Italia",,2019-07-05
3,Hotel Sporting Rimini,"Viale Amerigo Vespucci 20, 47921, Rimini Italia",,2019-07-05
4,CP Residence,"Via Silvio Pellico 25, 20099 Sesto San Giovanni Italia",,2019-07-05
5,CP Residence,"Via Silvio Pellico 25, 20099 Sesto San Giovanni Italia",,2019-07-05
6,CP Residence,"Via Silvio Pellico 25, 20099 Sesto San Giovanni Italia",,2019-07-05
7,CP Residence,"Via Silvio Pellico 25, 20099 Sesto San Giovanni Italia",,2019-07-05
8,Hotel Nord Est,"Viale Regina Margherita 50, 47924 Rivazzurra di Rimini, Rimini Italia",,2019-07-05
9,Hotel Nord Est,"Viale Regina Margherita 50, 47924 Rivazzurra di Rimini, Rimini Italia",,2019-07-05
10,Hotel Nord Est,"Viale Regina Margherita 50, 47924 Rivazzurra di Rimini, Rimini Italia",,2019-07-05
11,Hotel Nord Est,"Viale Regina Margherita 50, 47924 Rivazzurra di Rimini, Rimini Italia",,2019-07-05
12,Hotel Stresa,"Viale Gubbio 21, 47924, Rimini Italia",,2019-07-05
13,Hotel Stresa,"Viale Gubbio 21, 47924, Rimini Italia",,2019-07-05
14,Hotel Stresa,"Viale Gubbio 21, 47924, Rimini Italia",,2019-07-05
15,Hotel Stresa,"Viale Gubbio 21, 47924, Rimini Italia",,2019-07-05
16,Principe di Piemonte Hotel,"Viale Principe di Piemonte 27 Miramare di Rimini, 47924, Rimini Italia",,2019-07-05
17,Principe di Piemonte Hotel,"Viale Principe di Piemonte 27 Miramare di Rimini, 47924, Rimini Italia",,2019-07-05
18,Principe di Piemonte Hotel,"Viale Principe di Piemonte 27 Miramare di Rimini, 47924, Rimini Italia",,2019-07-05
19,Principe di Piemonte Hotel,"Viale Principe di Piemonte 27 Miramare di Rimini, 47924, Rimini Italia",,2019-07-05
20,Hotel Marina,"Via Dante Alighieri 18, 30016, Jesolo Italia",,2019-07-05
21,Hotel Marina,"Via Dante Alighieri 18, 30016, Jesolo Italia",,2019-07-05
22,Hotel Marina,"Via Dante Alighieri 18, 30016, Jesolo Italia",,2019-07-05
23,Hotel Marina,"Via Dante Alighieri 18, 30016, Jesolo Italia",,2019-07-05
24,Hotel Jet,"Via Altinate 20, 30016, Jesolo Italia",,2019-07-05
25,Hotel Jet,"Via Altinate 20, 30016, Jesolo Italia",,2019-07-05
26,Hotel Jet,"Via Altinate 20, 30016, Jesolo Italia",,2019-07-05
27,Hotel Jet,"Via Altinate 20, 30016, Jesolo Italia",,2019-07-05
28,Hotel Stockholm,"Via dei Mille 19, 30016, Jesolo Italia",,2019-07-05
29,Hotel Stockholm,"Via dei Mille 19, 30016, Jesolo Italia",,2019-07-05
30,Hotel Stockholm,"Via dei Mille 19, 30016, Jesolo Italia",,2019-07-05
31,Hotel Stockholm,"Via dei Mille 19, 30016, Jesolo Italia",,2019-07-05
32,Hotel Orient & Pacific,"Via Leonardo da Vinci 2, 30017, Jesolo Italia",,2019-07-05
33,Hotel Orient & Pacific,"Via Leonardo da Vinci 2, 30017, Jesolo Italia",,2019-07-05
34,Hotel Orient & Pacific,"Via Leonardo da Vinci 2, 30017, Jesolo Italia",,2019-07-05
35,Hotel Orient & Pacific,"Via Leonardo da Vinci 2, 30017, Jesolo Italia",,2019-07-05
36,Hotel Excelsior,"Via Zara 3, 30016, Jesolo Italia",,2019-07-05
37,Hotel Excelsior,"Via Zara 3, 30016, Jesolo Italia",,2019-07-05
38,Hotel Excelsior,"Via Zara 3, 30016, Jesolo Italia",,2019-07-05
39,Hotel Excelsior,"Via Zara 3, 30016, Jesolo Italia",,2019-07-05
40,Hotel Piazza Vecchia,"Via Colleoni, 3 Bergamo Alta, 24129 Bergamo Italia",,2019-07-05
41,Hotel Piazza Vecchia,"Via Colleoni, 3 Bergamo Alta, 24129 Bergamo Italia",,2019-07-05
42,Hotel Piazza Vecchia,"Via Colleoni, 3 Bergamo Alta, 24129 Bergamo Italia",,2019-07-05
43,Hotel Piazza Vecchia,"Via Colleoni, 3 Bergamo Alta, 24129 Bergamo Italia",,2019-07-05
44,NH Bergamo,"Via Pietro Paleocapa 1/G, 24122 Bergamo Italia",,2019-07-05
45,NH Bergamo,"Via Pietro Paleocapa 1/G, 24122 Bergamo Italia",,2019-07-05
46,NH Bergamo,"Via Pietro Paleocapa 1/G, 24122 Bergamo Italia",,2019-07-05
47,NH Bergamo,"Via Pietro Paleocapa 1/G, 24122 Bergamo Italia",,2019-07-05
48,La Valletta Relais,"Via Castagneta 19 Citta' Alta, 24129 Bergamo Italia",,2019-07-05
49,La Valletta Relais,"Via Castagneta 19 Citta' Alta, 24129 Bergamo Italia",,2019-07-05
50,La Valletta Relais,"Via Castagneta 19 Citta' Alta, 24129 Bergamo Italia",,2019-07-05
51,La Valletta Relais,"Via Castagneta 19 Citta' Alta, 24129 Bergamo Italia",,2019-07-05
52,Hotel Relais San Lorenzo,"Piazza Lorenzo Mascheroni 9/A, 24129 Bergamo Italia",,2019-07-05
53,Hotel Relais San Lorenzo,"Piazza Lorenzo Mascheroni 9/A, 24129 Bergamo Italia",,2019-07-05
54,Hotel Relais San Lorenzo,"Piazza Lorenzo Mascheroni 9/A, 24129 Bergamo Italia",,2019-07-05
55,Hotel Relais San Lorenzo,"Piazza Lorenzo Mascheroni 9/A, 24129 Bergamo Italia",,2019-07-05
56,Camping Dolce Sole,"Via Degli Unni 13, 54100 Marina di Massa, Massa Italia",,2019-07-05
57,Camping Dolce Sole,"Via Degli Unni 13, 54100 Marina di Massa, Massa Italia",,2019-07-05
58,Camping Dolce Sole,"Via Degli Unni 13, 54100 Marina di Massa, Massa Italia",,2019-07-05
59,Camping Dolce Sole,"Via Degli Unni 13, 54100 Marina di Massa, Massa Italia",,2019-07-05
60,Hotel Matilde,"Via Tagliamento 4, 54100 Marina di Massa, Massa Italia",,2019-07-05
61,Hotel Matilde,"Via Tagliamento 4, 54100 Marina di Massa, Massa Italia",,2019-07-05
62,Hotel Matilde,"Via Tagliamento 4, 54100 Marina di Massa, Massa Italia",,2019-07-05
63,Hotel Matilde,"Via Tagliamento 4, 54100 Marina di Massa, Massa Italia",,2019-07-05
64,Hotel Tirreno,"Via Manzoni 1, 54100 Marina di Massa, Massa Italia",,2019-07-05
65,Hotel Tirreno,"Via Manzoni 1, 54100 Marina di Massa, Massa Italia",,2019-07-05
66,Hotel Tirreno,"Via Manzoni 1, 54100 Marina di Massa, Massa Italia",,2019-07-05
67,Hotel Tirreno,"Via Manzoni 1, 54100 Marina di Massa, Massa Italia",,2019-07-05
68,Hotel La Perla,"Via delle Pinete 163 54100 Marina di Massa (MS), 54100 Marina di Massa, Massa Italia",,2019-07-05
69,Hotel La Perla,"Via delle Pinete 163 54100 Marina di Massa (MS), 54100 Marina di Massa, Massa Italia",,2019-07-05
70,Hotel La Perla,"Via delle Pinete 163 54100 Marina di Massa (MS), 54100 Marina di Massa, Massa Italia",,2019-07-05
71,Hotel La Perla,"Via delle Pinete 163 54100 Marina di Massa (MS), 54100 Marina di Massa, Massa Italia",,2019-07-05
72,Tilly,"Lungomare Levante 1/54037, 54100 Marina di Massa, Massa Italia",,2019-07-05
73,Tilly,"Lungomare Levante 1/54037, 54100 Marina di Massa, Massa Italia",,2019-07-05
74,Tilly,"Lungomare Levante 1/54037, 54100 Marina di Massa, Massa Italia",,2019-07-05
75,Tilly,"Lungomare Levante 1/54037, 54100 Marina di Massa, Massa Italia",,2019-07-05
76,Il Giardino,"51 Via dell'Acqua, 54100 Marina di Massa, Massa Italia",,2019-07-05
