hotel;indirizzo;dataIns
Camping Olympia;Camping Olympia, 1 3904 Toblach, 39034 Dobbiaco Italia;2019-07-05
Camping Village Firenze;Via Generale Dalla Chiesa 1-3, 50136, Firenze Italia;2019-07-05
Camping Torre Castiglione;Torre Lapillo 30, 73010, Porto Cesareo Italia;2019-07-05
Camping Sabbiadoro;Via Sabbiadoro 8, 33054, Lignano Sabbiadoro Italia;2019-07-05
Europa Camping Village;Via Fausta 332 Loc. Valle Dolce, 30013, Cavallino-Treporti Italia;2019-07-05
Camping Village Marina di Venezia;Via Montello, 6, 30013, Cavallino-Treporti Italia;2019-07-05
Villaggio Camping Capo Ferrato;Via Delle Ginestre,12, 09043 Costa Rei, Muravera, Sardegna Italia;2019-07-05
Camping Village Capo d'Orso;Località Le Saline Palau Sardegna, 07020, Palau, Sardegna Italia;2019-07-05
Rifugio Sapienza;Piazza Rifugio Sapienza SNC, 95030 Nicolosi, Sicilia Italia;2019-07-05
Rifugio Lagazuoi;Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia;2019-07-05
Agriturismo & Scuderia della Valle;Via Prabutè, 2, 24038 Valsecca, Sant'Omobono Terme Italia;2019-07-05
Agriturismo La Ferme du Grand Paradis;Fraz. Valnontey 32, 11012 Cogne Italia;2019-07-05
Crowne Plaza Milan Linate;Via Konrad Adenauer 3, 20097 San Donato Milanese Italia;2019-07-05
UNAHOTELS San Vitale Bologna;Via Larga 4 Nei pressi della stazione ferroviaria “via Larga” e della tangenziale di Bologna uscita 11, 40138 Bologna Italia;2019-07-05
Starhotels Business Palace;Via Pietro Gaggia 3, 20139 Milano Italia;2019-07-05
Cosmopolitan Business Hotel;Via Alcide De Gasperi, 2, 62012, Civitanova Marche Italia;2019-07-05
8piuhotel;Viale Del Risorgimento, 73100, Lecce Italia;2019-07-05
UNAHOTELS Bologna Fiera;Piazza della Costituzione 1, 40128 Bologna Italia;2019-07-05
Parioli Bed & Business;Via Antonio Pollaiolo 2, 00197 Roma Italia;2019-07-05
AC Hotel Bologna by Marriott;Via Sebastiano Serlio, 28, 40128 Bologna Italia;2019-07-05
Savhotel;Via Ferruccio Parri 9, 40128 Bologna Italia;2019-07-05
B&B Villa Valentina Taormina;Via Cannizzoli 74 Trappitello, 98039, Taormina, Sicilia Italia;2019-07-05
Hotel Continental;Via Dionisio I nr. 2/A, 98039, Taormina, Sicilia Italia;2019-07-05
Hotel Villa Ducale;via Leonardo da Vinci 60, 98039, Taormina, Sicilia Italia;2019-07-05
Albergo del Senato;Piazza della Rotonda 73, 00186 Roma Italia;2019-07-05
Lifestyle Suites Rome;Piazza Navona 93, 00186 Roma Italia;2019-07-05
Hotel Abruzzi;Piazza della Rotonda 69, 00186 Roma Italia;2019-07-05
Albergo Diffuso Mannois;Via La Marmora 4, 08028, Orosei, Sardegna Italia;2019-07-05
Hotel Luna Lughente;Via Sa Serra, 2, 07026, Olbia, Sardegna Italia;2019-07-05
Locanda del Sole;Via del Santuario 114, 19017 Riomaggiore Italia;2019-07-05
B&B and Apartments Da Baranin;Via a. Rollandi 29, 19017 Manarola Italia;2019-07-05
Firenze Suite;Via Nuova de' Caccini n 25 (ang Via della Pergola), 50121, Firenze Italia;2019-07-05
NH Firenze;Piazza Vittorio Veneto 4/A, 50123, Firenze Italia;2019-07-05
Family Apartments;Via dei Cimatori 16/R, 50122, Firenze Italia;2019-07-05
Hotel Belvedere;Alessandro Volta, 37, 73026 Torre dell'Orso, Melendugno Italia;2019-07-05
Trulli Holiday - Albergo Diffuso;Piazza XXVII Maggio 38, 70011, Alberobello Italia;2019-07-05
Masseria Montalbano;S.S. 16 - Km 871,8, 72017, Ostuni Italia;2019-07-05
Melo Accommodations B&B;Via Melo da Bari 195, 70121, Bari Italia;2019-07-05
Hotel al Lupo;Via Oswald von Wolkenstein 5, 39040, Castelrotto Italia;2019-07-05
Du Lac et Du Parc Grand Resort;Viale Rovereto 44, 38066, Riva Del Garda Italia;2019-07-05
Palace Ravelli;Mezzana-Marilleva, Val di Sole, 38020, Mezzana Italia;2019-07-05
Albergo Garnì Antico Mas del Medico;Passeggiata Sottocastello 7, 38033 Masi di Cavalese, Cavalese Italia;2019-07-05
Spinale Hotel;Via Monte Spinale 39, 38086 Madonna di Campiglio, Pinzolo Italia;2019-07-05
Genusshotel Goldene Rose;Via Principale 73, 39028 Silandro Italia;2019-07-05
Hotel Benaco;Via Benaco 35, 38069 Torbole, Nago-Torbole Italia;2019-07-05
Hotel Mercurio Venezia;Calle del Fruttariol San Marco 1848, 30124 Venezia Italia;2019-07-05
Hotel Al Ponte Mocenigo;S. Croce 2063, 30135 Venezia Italia;2019-07-05
Hotel Filù;Fondamenta Cannaregio 1250 Ponte delle Guglie, 30121 Venezia Italia;2019-07-05
Alla Vite Dorata;Cannaregio 4690/B, 30121 Venezia Italia;2019-07-05
NapoliCentro Mare;Corso Vittorio Emanuele, 114 Largo Saverio Mercadante, 80121, Napoli Italia;2019-07-05
La Smorfia;Via Santa Maria di Costantinopoli 30, 80138, Napoli Italia;2019-07-05
Bed and Breakfast Il Conservatorio;Via San Pietro a Majella 7 Di fronte al Real Conservatorio di Napoli, 80138, Napoli Italia;2019-07-05
Rooms Rent Vesuvio Bed & Breakfast;Via Mario Pomilio 9, 80147, Napoli Italia;2019-07-05
Camping Village Torre Pendente;Viale delle Cascine 86, 56122, Pisa Italia;2019-07-05
Hotel Alessandro della Spina;Via Alessandro della Spina, 5-7-9, 56125, Pisa Italia;2019-07-05
La Locanda di Giada;Via San Biagio, 31 Cisanello, 56124, Pisa Italia;2019-07-05
Hotel Riviera Blu;Viale del Tirreno, 15, 56128 Tirrenia, Pisa Italia;2019-07-05
Gimmi Hotel;Viale Kassala 2, 47922 Torre Pedrera, Rimini Italia;2019-07-05
Park Hotel Serena;Via Canuti, 1, 47811 Viserbella, Rimini Italia;2019-07-05
You & Me Beach Hotel;Viale Porto Palos 65, 47922 Viserbella, Rimini Italia;2019-07-05
Hotel Cannes;Viale Pescara 14 Miramare, 47924, Rimini Italia;2019-07-05
Residenza Donna Giovanna;Via Umberto I, 89861 Tropea Italia;2019-07-05
Infinity Resort Tropea;Strada Statale 522 SNC Localita Pizzuta, 89861 Parghelia Italia;2019-07-05
Villa Garden;Cesare Battisti - Gasponi, 89862 Tropea Italia;2019-07-05
B&B Magna Grecia;Via Terina, 4, 88900, Crotone Italia;2019-07-05
Popilia Country Resort;Località Cutà, 89843 Maierato Italia;2019-07-05
Hotel Sorapiss;Via Monte Piana, 15, 32041 Misurina, Auronzo di Cadore Italia;2019-07-05
Albergo Miralago;Via Guide Alpine, 3, 32041 Misurina, Auronzo di Cadore Italia;2019-07-05
Chalet Lago Antorno;Località Lago Antorno 1, 32041 Misurina, Auronzo di Cadore Italia;2019-07-05
Albergo Bellavista;Via di Piano 13, 32040 Dosoledo Italia;2019-07-05
B&B Rossodisera;Via Pier Fortunato Calvi 15, 32040 Domegge di Cadore Italia;2019-07-05
B&B Hotel Milano San Siro;Via Achille 4, 20151 Milano Italia;2019-07-05
Moscova Luxury B&B;Via della Moscova 27, 20121 Milano Italia;2019-07-05
B&B Hotel Milano Sant'Ambrogio;Via Degli Olivetani 4, 20123 Milano Italia;2019-07-05
Enterprise Hotel;Corso Sempione 91, 20149 Milano Italia;2019-07-05
Palazzo Brunaccini;Piazzetta Lucrezia Brunaccini, 9, 90134, Palermo, Sicilia Italia;2019-07-05
Liberta' Bed And Breakfast;Via Filippo Turati 5, 90139, Palermo, Sicilia Italia;2019-07-05
Delle Vittorie Luxury Rooms & Suites;Via Bari 52 incrocio via Maqueda 309, 90133, Palermo, Sicilia Italia;2019-07-05
B&B Due Passi;Via Principe di Belmonte 90, 90139, Palermo, Sicilia Italia;2019-07-05
B&B Cannoli;Via Mariano Stabile, 60, 90139, Palermo, Sicilia Italia;2019-07-05
NH Torino Lingotto Congress;Via Nizza 262 Lingotto, 10126 Torino Italia;2019-07-05
NH Torino Santo Stefano;Via Porta Palatina, 19, 10123 Torino Italia;2019-07-05
Orologio Living Apartments;Corso Alcide De' Gasperi 41, 10129 Torino Italia;2019-07-05
B&B Della Rocca;Via della Rocca 10, 10123 Torino Italia;2019-07-05
B&B Il Pane e le Rose;Via Goito 11, 10125 Torino Italia;2019-07-05
Hotel President;Via antonio Cecchi 67, 10152 Torino Italia;2019-07-05
New Camping Le Tamerici;Via della Cecinella 5, 57023, Cecina Italia;2019-07-05
Toscana Biovillage;Via Gorizia 2 Loc. Collemezzano, 57023, Cecina Italia;2019-07-05
Varo Village Hotel;via del Forte, 1, 57020 Marina di Bibbona Italia;2019-07-05
Hotel Margherita;Via Umberto I, 70, 84010 Praiano Italia;2019-07-05
Residence Due Torri;Via Diego Taiani 7, 84010, Maiori Italia;2019-07-05
Cannaverde - Amalfi Coast Camp;Via Diego Taiani 22b, 84010, Maiori Italia;2019-07-05
Salerno in Alto Mare B&B;Piazza S. Agostino, 16, 84121 Salerno Italia;2019-07-05
Meuble Casa Mannini B&B;Via Casa Mannini 2, 84010, Maiori Italia;2019-07-05
Santa Caterina Hotel;9 SS Amalfitana, 84011, Amalfi Italia;2019-07-05
Monastero Santa Rosa Hotel & Spa;Via Roma 2 Strada per Amalfi, 84010 Conca dei Marini Italia;2019-07-05
Relais Dell'Olmo;Strada Olmo Ellera 4 Localita L'Olmo, 06132, Perugia Italia;2019-07-05
Sangallo Palace Hotel;Via Luigi Masi 9, 06121, Perugia Italia;2019-07-05
Agriturismo La Ginestrella;Via Maiole Baldelli, 10 Loc. Civitella d'Arna, 06134, Perugia Italia;2019-07-05
Valentina Bed & Breakfast;Via Vivaria 7, 05018, Orvieto Italia;2019-07-05
Agriturismo Il Castello;Frazione Coste di Trex, 25, 06081, Assisi Italia;2019-07-05
Castello di Baccaresca;Località Baccaresca, 06024, Gubbio Italia;2019-07-05
Il Castellaro Country House;Strada Ponte Felcino / Ponte Pattoli 44E, 06134 Ponte Pattoli, Perugia Italia;2019-07-05
Residenza di Campagna;Via Ottone IV 1, 06081 Rivotorto, Assisi Italia;2019-07-05
Grand Hotel Pianeta Maratea Resort;Via Santa Caterina 50, 85046, Maratea Italia;2019-07-05
Hotel San Giorgio Matera Albergo Diffuso nei Sassi;Via Fiorentini 259, 75100, Matera Italia;2019-07-05
Matera Sassi Rooms;Via Benedetto Croce 21, 75100, Matera Italia;2019-07-05
Sant'Angelo Luxury Resort;Piazza San Pietro Caveoso, 75100, Matera Italia;2019-07-05
B&B Al Convento;Ponte San Pietro Caveoso 25/30, 75100, Matera Italia;2019-07-05
Grotta dell'Eremita;Contrada Calcescia, 1, 85010 Castelmezzano Italia;2019-07-05
Bed & Breakfast Oasi;via nazionale adriatica nord 443, 65125, Pescara Italia;2019-07-05
Corte Rossetti Le Dimore B&B;Via Santa Maria, 20 Piazza Rossetti, 66054, Vasto Italia;2019-07-05
Hotel Nido dell'Aquila;Località Fonte Cerreto, 67010 Assergi Italia;2019-07-05
Halanus Hotel & Resort;Via P. Borsellino,16, 65020 Alanno Italia;2019-07-05
Antico Borgo Chieti;Via Monaco La Valletta 1, 66100, Chieti Italia;2019-07-05
UNAHOTELS Capotaormina;Via Nazionale 105, 98039, Taormina, Sicilia Italia;2019-07-05
Hotel Villa Enrica - Aeolian Charme;Via Serra, 11, 98055, Sicilia Italia;2019-07-05
Agriturismo Il Limoneto;Via d'Amico 41 Scillichenti, 95024, Acireale, Sicilia Italia;2019-07-05
Pietre Antiche Appartamenti;Via Giuseppe Fontana 12, 91016, Erice, Sicilia Italia;2019-07-05
Oberdan Bed & Breakfast;Via Guglielmo Oberdan 153, 95128 Catania, Sicilia Italia;2019-07-05
Agriturismo Masseria La Chiusa;Via Masseria Chiusa SNC Strada Provinciale 67bis, 90048 San Giuseppe Jato, Sicilia Italia;2019-07-05
Camping Village La Pineta;Via del Secco 90, 91010, San Vito lo Capo, Sicilia Italia;2019-07-05
Cesenatico Camping Village;Via Mazzini 182, 47042, Cesenatico Italia;2019-07-05
Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton;Via Milanese 3, 20099 Sesto San Giovanni Italia;2019-07-05
B&B La Casa Nel Parco;Via Giancarlo Clerici 342, 20099 Sesto San Giovanni Italia;2019-07-05
Hotel Sporting Rimini;Viale Amerigo Vespucci 20, 47921, Rimini Italia;2019-07-05
CP Residence;Via Silvio Pellico 25, 20099 Sesto San Giovanni Italia;2019-07-05
Hotel Nord Est;Viale Regina Margherita 50, 47924 Rivazzurra di Rimini, Rimini Italia;2019-07-05
Hotel Stresa;Viale Gubbio 21, 47924, Rimini Italia;2019-07-05
Principe di Piemonte Hotel;Viale Principe di Piemonte 27 Miramare di Rimini, 47924, Rimini Italia;2019-07-05
Hotel Marina;Via Dante Alighieri 18, 30016, Jesolo Italia;2019-07-05
Hotel Jet;Via Altinate 20, 30016, Jesolo Italia;2019-07-05
Hotel Stockholm;Via dei Mille 19, 30016, Jesolo Italia;2019-07-05
Hotel Orient & Pacific;Via Leonardo da Vinci 2, 30017, Jesolo Italia;2019-07-05
Hotel Excelsior;Via Zara 3, 30016, Jesolo Italia;2019-07-05
Hotel Piazza Vecchia;Via Colleoni, 3 Bergamo Alta, 24129 Bergamo Italia;2019-07-05
NH Bergamo;Via Pietro Paleocapa 1/G, 24122 Bergamo Italia;2019-07-05
La Valletta Relais;Via Castagneta 19 Citta' Alta, 24129 Bergamo Italia;2019-07-05
Hotel Relais San Lorenzo;Piazza Lorenzo Mascheroni 9/A, 24129 Bergamo Italia;2019-07-05
Camping Dolce Sole;Via Degli Unni 13, 54100 Marina di Massa, Massa Italia;2019-07-05
Hotel Matilde;Via Tagliamento 4, 54100 Marina di Massa, Massa Italia;2019-07-05
Hotel Tirreno;Via Manzoni 1, 54100 Marina di Massa, Massa Italia;2019-07-05
Hotel La Perla;Via delle Pinete 163 54100 Marina di Massa (MS), 54100 Marina di Massa, Massa Italia;2019-07-05
Tilly;Lungomare Levante 1/54037, 54100 Marina di Massa, Massa Italia;2019-07-05
Hotel Central Park;Via Tonfano 305 Versilia, 55045 Marina di Pietrasanta Italia;2019-07-05
Hotel Venezia;Via Firenze 48, 55045 Marina di Pietrasanta Italia;2019-07-05
L'Alba Hotel;Via Cristoforo Colombo 23, 55045 Marina di Pietrasanta Italia;2019-07-05
Hotel San Siro;Via Leonardo da Vinci, 25, 55045 Marina di Pietrasanta Italia;2019-07-05
La Versiliana Hotel;Piazza Giosue' Carducci 1, 55045 Marina di Pietrasanta Italia;2019-07-05
Hotel Trieste;Via San Rocco 3/5, 23017, Morbegno Italia;2019-07-05
La Brace Hotel Ristorante;Via Piani, 1 Strada Statale dello Stelvio Km 22.3, 23010 Forcola Italia;2019-07-05
Hotel Il Portichetto;Via della Foppa 2 Vezio, 23828, Perledo Italia;2019-07-05
Genzianella;Via Ezio Vanoni 19, 23010 Val Masino Italia;2019-07-05
Hotel Villa Flori;Via Cernobbio 12, 22100, Como Italia;2019-07-05
Hotel Barchetta Excelsior;Piazza Camillo Benso Conte di Cavour 1, 22100, Como Italia;2019-07-05
In Riva al Lago Bed & Breakfast;Via Benedetto E Antonio Maria Crespi 4, 22100, Como Italia;2019-07-05
Ostello Bello Lake Como;Via Fratelli Rosselli 9, 22100, Como Italia;2019-07-05
Hotel Como;Via Mentana 28, 22100, Como Italia;2019-07-05
Hotel Engadina;Viale Fratelli Rosselli 22, 22100, Como Italia;2019-07-05
Villa Liberty;Via Gaspare Rosales 1, 22100, Como Italia;2019-07-05
Hilton Lake Como;Via Borgo Vico 241, 22100, Como Italia;2019-07-05
Villa del Cigno;Via Caldone 3, 23900 Lecco Italia;2019-07-05
Agriturismo Deviscio;3 Localita' Devizzo, 23900 Lecco Italia;2019-07-05
Polvara Trentuno Bed & Breakfast;Via Monsignore Giuseppe Polvara 31, 23900 Lecco Italia;2019-07-05
Affittacamere Solosonno;Via Lazzaretto 14, 23900 Lecco Italia;2019-07-05
Villa Puccini B&B;Via Giacomo Puccini n. 8, 23900 Lecco Italia;2019-07-05
City Hotel;Via Nazario Sauro 29, 25015, Desenzano Del Garda Italia;2019-07-05
Villa Rosa Hotel;Lungolago C. Battisti 89, 25015, Desenzano Del Garda Italia;2019-07-05
Aquila d'Oro;Viale Francesco Agello 47-49, 25015, Desenzano Del Garda Italia;2019-07-05
B&B Desenzano;Viale Rimembranze, 32, 25015, Desenzano Del Garda Italia;2019-07-05
Hotel Desenzano;Viale Cavour 40/42, 25015, Desenzano Del Garda Italia;2019-07-05
Residence Il Sogno;Via Bonvicino, 2 A, 25015, Desenzano Del Garda Italia;2019-07-05
Best Western Hotel Crimea;Via Mentana 3, 10133 Torino Italia;2019-07-05
Hotel Galant;Corso Garibaldi 155 Venaria Reale, 10078 Torino Italia;2019-07-05
Best Western Hotel Genio;Corso Vittorio Emanuele II 47, 10125 Torino Italia;2019-07-05
Hotel Torino Porta Susa;Corso San Martino 5, 10122 Torino Italia;2019-07-05
Residence Sacchi;Via Paolo Sacchi, 34, 10128 Torino Italia;2019-07-05
Best Western Premier Milano Palace Hotel;Corso Vittorio Emanuele II, 68, 41121, Modena Italia;2019-07-05
A Casa di Emma;Strada Nazionale per Carpi Nord, 1500, 41123, Modena Italia;2019-07-05
B&B Igea.50;Via Igea 50, 41126, Modena Italia;2019-07-05
PHI Hotel Canalgrande;Corso Canalgrande 6, 41121, Modena Italia;2019-07-05
Ambasciatori Hotel;Via Litoranea Nord 23, 47843, Misano Adriatico Italia;2019-07-05
Hotel Touring;Via Litoranea Nord 65, 47843, Misano Adriatico Italia;2019-07-05
Hotel Aquila D'Oro;Via Sardegna, 29, 47843, Misano Adriatico Italia;2019-07-05
HOTEL MAIOLI;via matteotti 12, 47843, Misano Adriatico Italia;2019-07-05
La Casa Nella Prateria;Via Castellaro 12, 47843, Misano Adriatico Italia;2019-07-05
Locanda San Biagio;Via del Carro, 42, 47843, Misano Adriatico Italia;2019-07-05
Fra i Sassi Residence;Via D'Addozio 102 Sasso Barisano, 75100, Matera Italia;2019-07-05
Le Dodici Lune Residence;Via San Giacomo, 27 Sasso Caveoso vicino al MUSMA, 75100, Matera Italia;2019-07-05
Masseria Santa Lucia;Via dei Mestieri snc ( incrocio via delle Arti ), 75100, Matera Italia;2019-07-05
La Casa di Ele;Via San Biagio, 26, 75100, Matera Italia;2019-07-05
Hydria Residence;Via Piave 10, 75100, Matera Italia;2019-07-05
Il Nespolo;Vico III Casalnuovo 18, 75100, Matera Italia;2019-07-05
Antico Convicino Rooms Suites & SPA;Via San Pietro Caveoso 18/30, 75100, Matera Italia;2019-07-05
Agriturismo La Corte del Lupo;Localita Pertana 43, 06025 Nocera Umbra Italia;2019-07-05
Grand Hotel Assisi;Via G. Renzi, 2, 06081, Assisi Italia;2019-07-05
Hotel Mom Assisi;Piazza Dante Alighieri, 3, 06081 Santa Maria degli Angeli, Assisi Italia;2019-07-05
Relais Ducale Hotel;Piazza Grande ,5 Via Galeotti, 19, 06024, Gubbio Italia;2019-07-05
Smeraldo Suites & Spa;via Rinascimento 141, 63074, San Benedetto Del Tronto Italia;2019-07-05
B&B Del Castello;Via Elio Fileni 30, 63074, San Benedetto Del Tronto Italia;2019-07-05
B&B Mare d'amare;Viale Alcide de Gasperi 91, 63074, San Benedetto Del Tronto Italia;2019-07-05
Bed and breakfast Incanto Sotto il Mare;Via Faustina Maratta 1 angolo via C. Sforza, 63074, San Benedetto Del Tronto Italia;2019-07-05
La Panoramica;Via Panoramica 20, 63074, San Benedetto Del Tronto Italia;2019-07-05
Hotel Concorde;Piazza Stazione 2, 26900, Lodi Italia;2019-07-05
B&B Hotel Milano Monza;Via Lario 19, 20052 Monza Italia;2019-07-05
Hotel Royal Falcone;Corso Milano 5, 20900 Monza Italia;2019-07-05
Hotel Maranello Village;Viale Terra delle Rosse, 12, 41053, Maranello Italia;2019-07-05
Planet Hotel;Via Giovanni Verga 22, 41053, Maranello Italia;2019-07-05
Hotel Panorama;Via Giuseppe Mazzini, 7,, 07026, Olbia, Sardegna Italia;2019-07-05
Hotel Il Guercino;Via Luigi Serra 7, 40129 Bologna Italia;2019-07-05
