;hotel;indirizzo;dataIns;province;città;nazione;lat;lng
105;Hotel San Giorgio Matera Albergo Diffuso nei Sassi;Via Fiorentini 259, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.667793;16.610231
106;Matera Sassi Rooms;Via Benedetto Croce 21, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.673958;16.584987
107;Sant'Angelo Luxury Resort;Piazza San Pietro Caveoso, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.664499;16.612148
108;B&B Al Convento;Ponte San Pietro Caveoso 25/30, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.663976;16.610987
109;Grotta dell'Eremita;Contrada Calcescia, 1, 85010 Castelmezzano Italia;2019-07-05;Potenza;Pignola;Italy;40.58;15.78
110;Bed & Breakfast Oasi;via nazionale adriatica nord 443, 65125, Pescara Italia;2019-07-05;Pescara;Pescara;Italy;42.491765;14.17997
111;Corte Rossetti Le Dimore B&B;Via Santa Maria, 20 Piazza Rossetti, 66054, Vasto Italia;2019-07-05;Chieti;Vasto;Italy;42.111451;14.708952
112;Hotel Nido dell'Aquila;Localit‡ Fonte Cerreto, 67010 Assergi Italia;2019-07-05;L'Aquila;Barete;Italy;42.448318;13.271408
113;Halanus Hotel & Resort;Via P. Borsellino,16, 65020 Alanno Italia;2019-07-05;Pescara;San Valentino in Abruzzo Citeriore;Italy;42.23;13.97
114;Antico Borgo Chieti;Via Monaco La Valletta 1, 66100, Chieti Italia;2019-07-05;Chieti;Chieti;Italy;42.346864;14.164368
115;UNAHOTELS Capotaormina;Via Nazionale 105, 98039, Taormina, Sicilia Italia;2019-07-05;Messina;Taormina;Italy;37.859878;15.295424
116;Hotel Villa Enrica - Aeolian Charme;Via Serra, 11, 98055, Sicilia Italia;2019-07-05;Messina;Lipari;Italy;38.47;14.95
117;Agriturismo Il Limoneto;Via d'Amico 41 Scillichenti, 95024, Acireale, Sicilia Italia;2019-07-05;Catania;Acireale;Italy;37.650537;15.177962
118;Pietre Antiche Appartamenti;Via Giuseppe Fontana 12, 91016, Erice, Sicilia Italia;2019-07-05;Trapani;Erice;Italy;38.037707;12.587041
119;Oberdan Bed & Breakfast;Via Guglielmo Oberdan 153, 95128 Catania, Sicilia Italia;2019-07-05;Catania;Catania;Italy;37.514941;15.089012
120;Agriturismo Masseria La Chiusa;Via Masseria Chiusa SNC Strada Provinciale 67bis, 90048 San Giuseppe Jato, Sicilia Italia;2019-07-05;Palermo;San Giuseppe Jato;Italy;37.97;13.18
121;Camping Village La Pineta;Via del Secco 90, 91010, San Vito lo Capo, Sicilia Italia;2019-07-05;Trapani;San Vito Lo Capo;Italy;38.174607;12.74184
122;Cesenatico Camping Village;Via Mazzini 182, 47042, Cesenatico Italia;2019-07-05;Forli'-Cesena;Cesenatico;Italy;44.2;12.4
123;Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton;Via Milanese 3, 20099 Sesto San Giovanni Italia;2019-07-05;Milano;Sesto San Giovanni;Italy;45.54;9.24
124;B&B La Casa Nel Parco;Via Giancarlo Clerici 342, 20099 Sesto San Giovanni Italia;2019-07-05;Milano;Sesto San Giovanni;Italy;45.54;9.24
125;Hotel Sporting Rimini;Viale Amerigo Vespucci 20, 47921, Rimini Italia;2019-07-05;Rimini;Rimini;Italy;44.069026;12.579661
126;CP Residence;Via Silvio Pellico 25, 20099 Sesto San Giovanni Italia;2019-07-05;Milano;Sesto San Giovanni;Italy;45.546229;9.231727
127;Hotel Nord Est;Viale Regina Margherita 50, 47924 Rivazzurra di Rimini, Rimini Italia;2019-07-05;Rimini;Rimini;Italy;44.037537;12.614069
128;Hotel Stresa;Viale Gubbio 21, 47924, Rimini Italia;2019-07-05;Rimini;Rimini;Italy;44.034425;12.615242
129;Principe di Piemonte Hotel;Viale Principe di Piemonte 27 Miramare di Rimini, 47924, Rimini Italia;2019-07-05;Rimini;Rimini;Italy;44.030955;12.622158
130;Hotel Marina;Via Dante Alighieri 18, 30016, Jesolo Italia;2019-07-05;Venezia;Jesolo;Italy;45.507972;12.650424
131;Hotel Jet;Via Altinate 20, 30016, Jesolo Italia;2019-07-05;Venezia;Jesolo;Italy;45.514927;12.674211
132;Hotel Stockholm;Via dei Mille 19, 30016, Jesolo Italia;2019-07-05;Venezia;Jesolo;Italy;45.486607;12.595441
133;Hotel Orient & Pacific;Via Leonardo da Vinci 2, 30017, Jesolo Italia;2019-07-05;Venezia;Jesolo;Italy;45.517666;12.683106
134;Hotel Excelsior;Via Zara 3, 30016, Jesolo Italia;2019-07-05;Venezia;Jesolo;Italy;45.495718;12.618067
135;Hotel Piazza Vecchia;Via Colleoni, 3 Bergamo Alta, 24129 Bergamo Italia;2019-07-05;Bergamo;Bergamo;Italy;45.705289;9.660276
136;NH Bergamo;Via Pietro Paleocapa 1/G, 24122 Bergamo Italia;2019-07-05;Bergamo;Bergamo;Italy;45.69204;9.672381
137;La Valletta Relais;Via Castagneta 19 Citta' Alta, 24129 Bergamo Italia;2019-07-05;Bergamo;Bergamo;Italy;45.711575;9.651543
138;Hotel Relais San Lorenzo;Piazza Lorenzo Mascheroni 9/A, 24129 Bergamo Italia;2019-07-05;Bergamo;Bergamo;Italy;45.70538;9.660005
139;Camping Dolce Sole;Via Degli Unni 13, 54100 Marina di Massa, Massa Italia;2019-07-05;Massa-Carrara;Massa;Italy;44.029564;10.082585
140;Hotel Matilde;Via Tagliamento 4, 54100 Marina di Massa, Massa Italia;2019-07-05;Massa-Carrara;Massa;Italy;44.0124;10.102884
141;Hotel Tirreno;Via Manzoni 1, 54100 Marina di Massa, Massa Italia;2019-07-05;Massa-Carrara;Massa;Italy;44.04;10.14
142;Hotel La Perla;Via delle Pinete 163 54100 Marina di Massa (MS), 54100 Marina di Massa, Massa Italia;2019-07-05;Massa-Carrara;Massa;Italy;44.021187;10.081109
143;Tilly;Lungomare Levante 1/54037, 54100 Marina di Massa, Massa Italia;2019-07-05;Massa-Carrara;Massa;Italy;43.990119;10.126664
144;Hotel Central Park;Via Tonfano 305 Versilia, 55045 Marina di Pietrasanta Italia;2019-07-05;Lucca;Pietrasanta;Italy;43.938813;10.211973
145;Hotel Venezia;Via Firenze 48, 55045 Marina di Pietrasanta Italia;2019-07-05;Lucca;Pietrasanta;Italy;43.924409;10.207542
146;L'Alba Hotel;Via Cristoforo Colombo 23, 55045 Marina di Pietrasanta Italia;2019-07-05;Lucca;Pietrasanta;Italy;43.933895;10.195757
147;Hotel San Siro;Via Leonardo da Vinci, 25, 55045 Marina di Pietrasanta Italia;2019-07-05;Lucca;Pietrasanta;Italy;43.924587;10.203173
148;La Versiliana Hotel;Piazza Giosue' Carducci 1, 55045 Marina di Pietrasanta Italia;2019-07-05;Lucca;Pietrasanta;Italy;43.956632;10.230696
149;Hotel Trieste;Via San Rocco 3/5, 23017, Morbegno Italia;2019-07-05;Sondrio;Morbegno;Italy;46.131166;9.565211
150;La Brace Hotel Ristorante;Via Piani, 1 Strada Statale dello Stelvio Km 22.3, 23010 Forcola Italia;2019-07-05;Sondrio;Forcola;Italy;46.165494;9.68339
151;Hotel Il Portichetto;Via della Foppa 2 Vezio, 23828, Perledo Italia;2019-07-05;Lecco;Perledo;Italy;46.010859;9.289311
152;Genzianella;Via Ezio Vanoni 19, 23010 Val Masino Italia;2019-07-05;Sondrio;Val Masino;Italy;46.240645;9.628995
153;Hotel Villa Flori;Via Cernobbio 12, 22100, Como Italia;2019-07-05;Como;Como;Italy;45.827379;9.069671
154;Hotel Barchetta Excelsior;Piazza Camillo Benso Conte di Cavour 1, 22100, Como Italia;2019-07-05;Como;Como;Italy;45.812897;9.081618
155;In Riva al Lago Bed & Breakfast;Via Benedetto E Antonio Maria Crespi 4, 22100, Como Italia;2019-07-05;Como;Como;Italy;45.81541;9.083914
156;Ostello Bello Lake Como;Via Fratelli Rosselli 9, 22100, Como Italia;2019-07-05;Como;Como;Italy;45.812648;9.074346
157;Hotel Como;Via Mentana 28, 22100, Como Italia;2019-07-05;Como;Como;Italy;45.801906;9.0902
158;Hotel Engadina;Viale Fratelli Rosselli 22, 22100, Como Italia;2019-07-05;Como;Como;Italy;45.81253;9.072659
159;Villa Liberty;Via Gaspare Rosales 1, 22100, Como Italia;2019-07-05;Como;Como;Italy;45.819588;9.060835
160;Hilton Lake Como;Via Borgo Vico 241, 22100, Como Italia;2019-07-05;Como;Como;Italy;45.815869;9.066036
161;Villa del Cigno;Via Caldone 3, 23900 Lecco Italia;2019-07-05;Lecco;Lecco;Italy;45.861623;9.403915
162;Agriturismo Deviscio;3 Localita' Devizzo, 23900 Lecco Italia;2019-07-05;Lecco;Lecco;Italy;45.85;9.39
163;Polvara Trentuno Bed & Breakfast;Via Monsignore Giuseppe Polvara 31, 23900 Lecco Italia;2019-07-05;Lecco;Lecco;Italy;45.848582;9.408075
164;Affittacamere Solosonno;Via Lazzaretto 14, 23900 Lecco Italia;2019-07-05;Lecco;Lecco;Italy;45.850056;9.389231
165;Villa Puccini B&B;Via Giacomo Puccini n. 8, 23900 Lecco Italia;2019-07-05;Lecco;Lecco;Italy;45.827258;9.418545
166;City Hotel;Via Nazario Sauro 29, 25015, Desenzano Del Garda Italia;2019-07-05;Brescia;Desenzano del Garda;Italy;45.467939;10.540819
167;Villa Rosa Hotel;Lungolago C. Battisti 89, 25015, Desenzano Del Garda Italia;2019-07-05;Brescia;Desenzano del Garda;Italy;45.47;10.54
168;Aquila d'Oro;Viale Francesco Agello 47-49, 25015, Desenzano Del Garda Italia;2019-07-05;Brescia;Desenzano del Garda;Italy;45.459727;10.575224
169;B&B Desenzano;Viale Rimembranze, 32, 25015, Desenzano Del Garda Italia;2019-07-05;Brescia;Desenzano del Garda;Italy;45.472115;10.528708
170;Hotel Desenzano;Viale Cavour 40/42, 25015, Desenzano Del Garda Italia;2019-07-05;Brescia;Desenzano del Garda;Italy;45.465474;10.537015
171;Residence Il Sogno;Via Bonvicino, 2 A, 25015, Desenzano Del Garda Italia;2019-07-05;Brescia;Desenzano del Garda;Italy;45.466738;10.541778
172;Best Western Hotel Crimea;Via Mentana 3, 10133 Torino Italia;2019-07-05;Torino;Torino;Italy;45.056636;7.69479
173;Hotel Galant;Corso Garibaldi 155 Venaria Reale, 10078 Torino Italia;2019-07-05;Torino;Venaria Reale;Italy;45.119708;7.644114
174;Best Western Hotel Genio;Corso Vittorio Emanuele II 47, 10125 Torino Italia;2019-07-05;Torino;Torino;Italy;45.06;7.68
175;Hotel Torino Porta Susa;Corso San Martino 5, 10122 Torino Italia;2019-07-05;Torino;Torino;Italy;45.075113;7.669112
176;Residence Sacchi;Via Paolo Sacchi, 34, 10128 Torino Italia;2019-07-05;Torino;Torino;Italy;45.05861;7.674394
177;Best Western Premier Milano Palace Hotel;Corso Vittorio Emanuele II, 68, 41121, Modena Italia;2019-07-05;Modena;Modena;Italy;44.65;10.93
178;A Casa di Emma;Strada Nazionale per Carpi Nord, 1500, 41123, Modena Italia;2019-07-05;Modena;Modena;Italy;44.678338;10.89455
179;B&B Igea.50;Via Igea 50, 41126, Modena Italia;2019-07-05;Modena;Modena;Italy;44.613826;10.888127
180;PHI Hotel Canalgrande;Corso Canalgrande 6, 41121, Modena Italia;2019-07-05;Modena;Modena;Italy;44.643388;10.927449
181;Ambasciatori Hotel;Via Litoranea Nord 23, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.981197;12.697576
182;Hotel Touring;Via Litoranea Nord 65, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.985255;12.689559
183;Hotel Aquila D'Oro;Via Sardegna, 29, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.983798;12.687442
184;HOTEL MAIOLI;via matteotti 12, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.978141;12.69545
185;La Casa Nella Prateria;Via Castellaro 12, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.951373;12.659879
186;Locanda San Biagio;Via del Carro, 42, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.98;12.69
187;Fra i Sassi Residence;Via D'Addozio 102 Sasso Barisano, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.669237;16.609539
188;Le Dodici Lune Residence;Via San Giacomo, 27 Sasso Caveoso vicino al MUSMA, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.666003;16.61196
189;Masseria Santa Lucia;Via dei Mestieri snc ( incrocio via delle Arti ), 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.673797;16.573357
190;La Casa di Ele;Via San Biagio, 26, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.667636;16.608044
191;Hydria Residence;Via Piave 10, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.669331;16.607652
192;Il Nespolo;Vico III Casalnuovo 18, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.66183;16.610857
193;Antico Convicino Rooms Suites & SPA;Via San Pietro Caveoso 18/30, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.664566;16.610072
194;Agriturismo La Corte del Lupo;Localita Pertana 43, 06025 Nocera Umbra Italia;2019-07-05;Perugia;Nocera Umbra;Italy;43.152522;12.758165
195;Grand Hotel Assisi;Via G. Renzi, 2, 06081, Assisi Italia;2019-07-05;Perugia;Assisi;Italy;43.06;12.58
196;Hotel Mom Assisi;Piazza Dante Alighieri, 3, 06081 Santa Maria degli Angeli, Assisi Italia;2019-07-05;Perugia;Assisi;Italy;43.059368;12.585689
197;Relais Ducale Hotel;Piazza Grande ,5 Via Galeotti, 19, 06024, Gubbio Italia;2019-07-05;Perugia;Gubbio;Italy;43.353521;12.578755
198;Smeraldo Suites & Spa;via Rinascimento 141, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.921348;13.900887
199;B&B Del Castello;Via Elio Fileni 30, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.949536;13.876589
200;B&B Mare d'amare;Viale Alcide de Gasperi 91, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.946615;13.88289
201;Bed and breakfast Incanto Sotto il Mare;Via Faustina Maratta 1 angolo via C. Sforza, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.933886;13.891352
202;La Panoramica;Via Panoramica 20, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.933753;13.860162
203;Hotel Concorde;Piazza Stazione 2, 26900, Lodi Italia;2019-07-05;Lodi;Lodi;Italy;45.31;9.5
204;B&B Hotel Milano Monza;Via Lario 19, 20052 Monza Italia;2019-07-05;Kentucky;;United States;37.3275;-86.9467
205;Hotel Royal Falcone;Corso Milano 5, 20900 Monza Italia;2019-07-05;Monza E Della Brianza;Monza;Italy;45.579735;9.272908
206;Hotel Maranello Village;Viale Terra delle Rosse, 12, 41053, Maranello Italia;2019-07-05;Modena;Maranello;Italy;44.530987;10.89777
207;Planet Hotel;Via Giovanni Verga 22, 41053, Maranello Italia;2019-07-05;Modena;Maranello;Italy;44.532268;10.863687
208;Hotel Panorama;Via Giuseppe Mazzini, 7,, 07026, Olbia, Sardegna Italia;2019-07-05;Olbia-Tempio;Olbia;Italy;40.92;9.5
209;Hotel Il Guercino;Via Luigi Serra 7, 40129 Bologna Italia;2019-07-05;Bologna;Bologna;Italy;44.509281;11.345528
